Year,Apr,Nov,Dec
3/09/1965,"1.214,00",66.1,88.8
3/09/1966,"584,00",47.5,105.9
3/09/1967,"175,00",20.1,40.1
3/09/1968,"672,00",44.5,53.6
3/09/1969,"277,00",42.1,40.7
3/09/1970,"87,00",67,119.7
3/09/1971,"546,00",157,41.3
3/09/1972,"678,00",48.6,0.8
3/09/1973,"33,00",68.1,48.8
3/09/1974,"1.232,00",62.3,54
3/09/1975,"226,00",65.6,66.8
3/09/1976,"385,00",105.2,36.6
3/09/1977,"841,00",39.6,27.2
3/09/1978,"582,00",143.8,103.8
3/09/1979,"555,00",36.4,10.8
3/09/1980,"85,00",43.4,79.8
3/09/1981,"162,00",62.8,30.2
3/09/1982,"432,00",18.4,40.8
3/09/1983,"48,00",87.2,10.6
3/09/1984,"531,00",65.4,67.2
3/09/1985,"685,00",82.2,148
3/09/1986,"581,00",41,58.2
3/09/1987,"217,00",74.8,91.9
3/09/1988,"82,00",163.4,80.3
3/09/1989,"71,00",35.8,71
3/09/1990,"942,00",52.5,25.7
3/09/1991,"377,00",20.5,106.1
3/09/1992,"39,00",177,98.4
3/09/1993,"274,00",64,60
3/09/1999,"354,00",35.4,131.2
3/09/2020,"422,00",40.9,41
3/09/2020,"42,00",30,25
3/09/2020,"432,00",28,11
3/09/2020,"682,00",15.4,65.4
3/09/2020,"512,00",118,51.2
3/09/2020,"268,00",56,60.4
3/09/2020,"478,00",28.8,14.4
3/09/2020,"228,00",58,76.6
3/09/2020,"172,00",46.4,75.8
3/09/2020,"372,00",94.2,43.2
3/09/2020,"52,00",114.2,85.2
3/09/2020,"969,00",113.2,79
3/09/2020,"566,00",39.8,27.6
3/09/2020,"234,00",61.6,43.2
3/09/2020,"764,00",59.2,36.8
3/09/2020,"52,00",46.4,60
3/09/2020,"497,00",36.4,47.7
3/09/2020,"1.427,00",46.2,119.2
3/09/2020,"19,00",69.6,117.3
3/09/2020,"116,00",60.8,4.4
